CourtCaseTypeID,CourtID,CaseTypeID,AppealByRight,AppealByPermission,OriginalProceeding,InterlocutoryAppeal,Exclusive,Limited,MinValue,MaxValue,Notes,DisplayOrder
1,106,1,False,False,False,False,False,False,-98,-98,,1
2,106,2,False,False,False,False,False,False,-98,-98,,2
3,106,53,False,False,False,False,False,False,-98,-98,,3
4,106,3,False,False,False,False,False,False,10000,NOMAX,,4
5,106,6,False,False,False,False,False,False,-98,-98,,5
6,106,12,True,False,False,False,False,False,-98,-98,,6
4471,32,55,True,False,False,False,False,False,-98,-98,,766
8,106,14,False,False,False,False,False,False,-98,-98,,8
9,106,15,False,False,False,False,False,False,-98,-98,,9
10,106,16,False,False,False,False,False,False,-98,-98,,10
11,106,17,False,False,False,False,False,False,-98,-98,,11
12,106,18,False,False,False,False,False,False,-98,-98,,12
13,106,19,False,False,False,False,False,False,-98,-98,,13
14,106,20,False,False,False,False,False,False,-98,-98,,14
15,106,21,False,False,False,False,False,False,-98,-98,,15
16,106,23,False,False,False,False,False,False,-98,-98,,16
17,106,24,False,False,False,False,False,False,-98,-98,,17
18,106,25,False,False,False,False,False,False,-98,-98,,18
19,106,27,False,False,False,False,False,False,-98,-98,,19
20,106,46,False,False,False,False,False,False,-98,-98,,20
22,107,1,False,False,False,False,False,False,-98,-98,,21
23,107,2,False,False,False,False,False,False,-98,-98,,22
24,107,53,False,False,False,False,False,False,-98,-98,,23
25,107,3,False,False,False,False,False,False,3000,10000,,24
26,107,6,False,False,False,False,False,False,-98,-98,,25
27,107,9,False,False,False,False,False,False,0,3000,,26
28,107,15,False,False,False,False,False,False,-98,-98,,27
29,107,16,False,False,False,False,False,False,-98,-98,,28
30,107,17,False,False,False,False,False,False,-98,-98,,29
31,107,18,False,False,False,False,False,False,-98,-98,,30
32,107,19,False,False,False,False,False,False,-98,-98,,31
33,107,20,False,False,False,False,False,False,-98,-98,,32
34,107,22,False,False,False,False,False,False,-98,-98,,33
35,107,24,False,False,False,False,False,False,-98,-98,,34
36,107,25,False,False,False,False,False,False,-98,-98,,35
37,107,26,False,False,False,False,False,False,-98,-98,,36
38,107,27,False,False,False,False,False,False,-98,-98,,37
39,108,20,False,False,False,False,False,False,-98,-98,,38
40,108,26,False,False,False,False,False,False,-98,-98,,39
41,108,28,False,False,False,False,True,False,-98,-98,,40
42,108,29,False,False,False,False,False,False,-98,-98,,41
43,109,3,False,False,False,False,False,False,-98,-98,,42
44,109,4,False,False,False,False,False,False,-98,-98,,43
45,109,5,False,False,False,False,False,False,-98,-98,,44
46,109,8,False,False,False,False,True,False,-98,-98,,45
47,109,19,False,False,False,False,False,False,-98,-98,,46
48,109,45,False,False,False,False,False,False,-98,-98,,47
