CourtID,CourtName,CourtLevelID,CSPAggID,FundingID,AppealFromAdminAgency,Notes,Link,DisplayOrder
1,Supreme Court,COLR      ,COLR      ,S,FALSE,Assigns cases to the Court of Civil Appeals.,http://judicial.alabama.gov/supreme.cfm,1
2,Court of Civil Appeals,IAC       ,IAC       ,S,FALSE,-99,http://judicial.alabama.gov/civil.cfm,2
3,Court of Criminal Appeals,IAC       ,IAC       ,S,FALSE,-99,http://judicial.alabama.gov/criminal.cfm,3
106,Circuit,GJ        ,GJ        ,M,TRUE,Jury trials.,http://judicial.alabama.gov/,4
107,District,LJ        ,LJ        ,M,FALSE,No jury trials.,-99,5
108,Municipal,LJ        ,LJ        ,L,FALSE,No jury trials.,-99,6
109,Probate,LJ        ,GJ        ,L,FALSE,No jury trials.,-99,7
4,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,http://courts.alaska.gov/appellate/appcts.htm,8
5,Court of Appeals,IAC       ,IAC       ,S,FALSE,-99,http://courts.alaska.gov/appellate/appcts.htm,9
110,District,LJ        ,LJ        ,S,TRUE,Jury trials in most cases.,http://www.courts.alaska.gov/trialcourts/index.htm#recs,10
111,Superior,GJ        ,GJ        ,S,FALSE,Jury trials in most cases.,http://www.courts.alaska.gov/trialcourts/index.htm#recs,11
7,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,http://www.azcourts.gov/AZ-Supreme-Court,12
8,Court of Appeal,IAC       ,IAC       ,S,TRUE,-99,http://www.azcourts.gov/AZ-Courts/Court-of-Appeals,13
115,Justice of the Peace,LJ        ,LJ        ,M,FALSE,Jury trials except in small claims.,http://justicecourts.maricopa.gov/Judges/index.aspx/,14
116,Municipal,LJ        ,LJ        ,M,FALSE,Jury trials.,http://www.azcourts.gov/AZ-Courts/City-Courts,15
117,Superior,GJ        ,GJ        ,M,TRUE,Jury trials.,http://www.azcourts.gov/AZ-Courts/Superior-Court,16
118,Tax,GJ        ,GJ        ,M,FALSE,No jury trials.,http://www.superiorcourt.maricopa.gov/SuperiorCourt/TaxCourt/index.asp,17
9,Supreme Court,COLR      ,COLR      ,S,FALSE,May reassign cases from Court of Appeals.,https://courts.arkansas.gov/courts/supreme-court,18
10,Court of Appeals,IAC       ,IAC       ,S,TRUE,-99,https://courts.arkansas.gov/courts/court-of-appeals,19
119,Circuit,GJ        ,GJ        ,M,FALSE,Jury trials.,https://courts.arkansas.gov/courts/circuit-courts,20
120,District,LJ        ,LJ        ,L,FALSE,No jury trials.,https://courts.arkansas.gov/courts/district-courts,21
11,Supreme Court,COLR      ,COLR      ,S,TRUE,-99,http://www.courts.ca.gov/supremecourt.htm,22
12,Court of Appeal,IAC       ,IAC       ,S,TRUE,-99,http://www.courts.ca.gov/courtsofappeal.htm,23
121,Superior,GJ        ,GJ        ,S,TRUE,"Jury trials except in appeals, domestic relations, and juvenile cases.",http://www.courts.ca.gov/superiorcourts.htm,24
13,Supreme Court,COLR      ,COLR      ,S,TRUE,-99,https://www.courts.state.co.us/Courts/Supreme_Court/Index.cfm,25
14,Court of Appeals,IAC       ,IAC       ,S,TRUE,-99,https://www.courts.state.co.us/Courts/Court_Of_Appeals/Index.cfm,26
122,County,LJ        ,LJ        ,M,FALSE,Jury trials except in small claims and appeals.,https://www.courts.state.co.us/Courts/County/Choose.cfm,27
123,Denver Juvenile,GJ        ,GJ        ,S,FALSE,Jury trials.,https://www.courts.state.co.us/Courts/Denver_Juvenile/Index.cfm,28
124,Denver Probate,GJ        ,GJ        ,S,FALSE,Jury trials.,https://www.courts.state.co.us/Courts/Denver_Probate/Index.cfm,29
125,District,GJ        ,GJ        ,S,TRUE,Jury trials except in appeals.,https://www.courts.state.co.us/Courts/District/Choose.cfm,30
126,Municipal,LJ        ,LJ        ,L,FALSE,Jury trials.,-99,31
127,Water,GJ        ,GJ        ,S,FALSE,District court judges serve jury trials.,https://www.courts.state.co.us/Courts/Water/Index.cfm,32
15,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,https://www.jud.state.ct.us/external/supapp/Default.htm,33
16,Appellate Court,IAC       ,IAC       ,S,TRUE,-99,https://www.jud.state.ct.us/external/supapp/appellate.htm,34
128,Probate,LJ        ,LJ        ,L,FALSE,No jury trials.,http://www.ctprobate.gov/Pages/Welcome.aspx,35
129,Superior,GJ        ,GJ        ,S,TRUE,Jury trials in most cases.,https://www.jud.state.ct.us/external/super/default.htm,36
17,Supreme Court,COLR      ,COLR      ,S,FALSE,-99,https://courts.delaware.gov/supreme/,37
130,Aldermans,LJ        ,LJ        ,L,FALSE,No jury trials. Jurisdiction varies by localities.,-99,38
131,Court of Chancery,GJ        ,GJ        ,S,FALSE,No jury trials.,https://courts.delaware.gov/chancery/,39
